Port,Port Number,Min Slack (ns),Avg Slack (ns),Max Slack (ns),Paths,Port Delay (ns)
channel_in_ip[-1],-1,0.09,0.09025,0.091,4,
channel_in_ip[-1],-1,0.09,0.09025,0.091,4,
channel_in_ip[-1],-1,0.091,0.091,0.091,4,
channel_in_ip[-1],-1,0.099,0.099,0.099,2,
channel_in_ip[-1],-1,0.155,0.162,0.169,2,
channel_in_ip[-1],-1,0.158,0.164,0.17,2,
channel_in_ip[-1],-1,0.163,0.16949999999999998,0.176,2,
channel_in_ip[-1],-1,0.166,0.17049999999999998,0.175,2,
channel_in_ip[-1],-1,0.203,0.2352,0.251,10,
channel_in_ip[-1],-1,0.082,0.0825,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.08325,0.084,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.08325,0.084,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.08325,0.084,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.08325,0.084,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.08325,0.084,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.08325,0.084,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.08325,0.084,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.08325,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.083,0.083,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.0835,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.083,0.08375,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.08425,0.085,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.08425,0.085,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.08425,0.085,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.08425,0.085,4,
channel_in_ip[-1],-1,0.084,0.08425,0.085,4,
channel_in_ip[-1],-1,0.084,0.08425,0.085,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.08425,0.085,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.08425,0.085,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.08425,0.085,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.0845,0.085,4,
channel_in_ip[-1],-1,0.084,0.084,0.084,4,
channel_in_ip[-1],-1,0.084,0.0845,0.085,4,
