Endpoint,Startpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status,Path Cells,Cell Types
axis_out_tvalid[0],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/rd_ptr_gray_reg_1_,0.361,1.88,1.519,MET,7,AOI221_X1;INV_X1;SDFFR_X1;AOI22_X1;OAI221_X1;CLKBUF_X1
axis_out_tvalid[4],for_outputs_4__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/rd_ptr_gray_reg_1_,0.326,1.88,1.554,MET,6,AOI221_X1;INV_X1;SDFFR_X1;AOI22_X1;OAI221_X1
axis_in_tready[3],for_inputs_3__shim_in/cross_clock_gen_shim_inst/single_factor_gen_data_buffer/dcfifo_component/wr_ptr_gray_reg_1_,0.314,1.88,1.566,MET,6,AOI221_X1;INV_X1;SDFFR_X1;AOI22_X1;OAI221_X1
axis_out_tvalid[2],for_outputs_2__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/rd_ptr_gray_reg_1_,0.313,1.88,1.567,MET,6,AOI221_X1;INV_X1;SDFFR_X1;AOI22_X1;OAI221_X1
axis_out_tvalid[3],for_outputs_3__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/rd_ptr_gray_reg_1_,0.312,1.88,1.568,MET,6,AOI221_X1;INV_X1;SDFFR_X1;AOI22_X1;OAI221_X1
axis_in_tready[4],for_inputs_4__shim_in/cross_clock_gen_shim_inst/single_factor_gen_data_buffer/dcfifo_component/wr_ptr_gray_reg_1_,0.31,1.88,1.57,MET,6,AOI221_X1;INV_X1;SDFFR_X1;AOI22_X1;OAI221_X1
axis_in_tready[2],for_inputs_2__shim_in/cross_clock_gen_shim_inst/single_factor_gen_data_buffer/dcfifo_component/wr_ptr_gray_reg_1_,0.307,1.88,1.573,MET,6,AOI221_X1;INV_X1;SDFFR_X1;AOI22_X1;OAI221_X1
axis_out_tvalid[1],for_outputs_1__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/rd_ptr_gray_reg_1_,0.304,1.88,1.576,MET,6,AOI221_X1;INV_X1;SDFFR_X1;AOI22_X1;OAI221_X1
axis_in_tready[0],for_inputs_0__shim_in/cross_clock_gen_shim_inst/single_factor_gen_data_buffer/dcfifo_component/wr_ptr_gray_reg_1_,0.298,1.88,1.582,MET,6,AOI221_X1;INV_X1;SDFFR_X1;AOI22_X1;OAI221_X1
axis_in_tready[1],for_inputs_1__shim_in/cross_clock_gen_shim_inst/single_factor_gen_data_buffer/dcfifo_component/wr_ptr_gray_reg_1_,0.298,1.88,1.582,MET,6,AOI221_X1;INV_X1;SDFFR_X1;AOI22_X1;OAI221_X1
axis_out_tdata[159],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_31_,0.106,1.88,1.774,MET,2,SDFFR_X1
axis_out_tdata[155],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_27_,0.104,1.88,1.776,MET,2,SDFFR_X1
axis_out_tdata[141],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_13_,0.104,1.88,1.776,MET,2,SDFFR_X1
axis_out_tdata[137],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_9_,0.103,1.88,1.777,MET,2,SDFFR_X1
axis_out_tdata[150],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_22_,0.103,1.88,1.777,MET,2,SDFFR_X1
axis_out_tdata[152],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_24_,0.103,1.88,1.777,MET,2,SDFFR_X1
axis_out_tdata[157],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_29_,0.103,1.88,1.777,MET,2,SDFFR_X1
axis_out_tdata[131],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_3_,0.103,1.88,1.777,MET,2,SDFFR_X1
axis_out_tdata[140],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_12_,0.103,1.88,1.777,MET,2,SDFFR_X1
axis_out_tdata[132],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_4_,0.103,1.88,1.777,MET,2,SDFFR_X1
axis_out_tdata[142],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_14_,0.102,1.88,1.778,MET,2,SDFFR_X1
axis_out_tdata[154],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_26_,0.102,1.88,1.778,MET,2,SDFFR_X1
axis_out_tdata[158],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_30_,0.102,1.88,1.778,MET,2,SDFFR_X1
axis_out_tdata[139],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_11_,0.102,1.88,1.778,MET,2,SDFFR_X1
axis_out_tdata[153],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_25_,0.102,1.88,1.778,MET,2,SDFFR_X1
