Endpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns)
axis_out_tvalid[0],0.361,1.88,1.519
axis_out_tvalid[4],0.326,1.88,1.554
axis_in_tready[3],0.314,1.88,1.566
axis_out_tvalid[2],0.313,1.88,1.567
axis_out_tvalid[3],0.312,1.88,1.568
axis_in_tready[4],0.31,1.88,1.57
axis_in_tready[2],0.307,1.88,1.573
axis_out_tvalid[1],0.304,1.88,1.576
axis_in_tready[0],0.298,1.88,1.582
axis_in_tready[1],0.298,1.88,1.582
axis_out_tdata[159],0.106,1.88,1.774
axis_out_tdata[155],0.104,1.88,1.776
axis_out_tdata[141],0.104,1.88,1.776
axis_out_tdata[137],0.103,1.88,1.777
axis_out_tdata[150],0.103,1.88,1.777
axis_out_tdata[152],0.103,1.88,1.777
axis_out_tdata[157],0.103,1.88,1.777
axis_out_tdata[131],0.103,1.88,1.777
axis_out_tdata[140],0.103,1.88,1.777
axis_out_tdata[132],0.103,1.88,1.777
axis_out_tdata[142],0.102,1.88,1.778
axis_out_tdata[154],0.102,1.88,1.778
axis_out_tdata[158],0.102,1.88,1.778
axis_out_tdata[139],0.102,1.88,1.778
axis_out_tdata[153],0.102,1.88,1.778
axis_out_tdata[147],0.102,1.88,1.778
axis_out_tdata[135],0.102,1.88,1.778
axis_out_tdata[143],0.101,1.88,1.779
axis_out_tdata[144],0.101,1.88,1.779
axis_out_tdata[136],0.101,1.88,1.779
axis_out_tdata[134],0.101,1.88,1.779
axis_out_tdata[129],0.101,1.88,1.779
axis_out_tdata[156],0.1,1.88,1.78
axis_out_tdata[130],0.1,1.88,1.78
axis_out_tdata[148],0.1,1.88,1.78
axis_out_tdata[151],0.1,1.88,1.78
axis_out_tdata[138],0.1,1.88,1.78
axis_out_tdata[133],0.099,1.88,1.781
axis_out_tdata[145],0.099,1.88,1.781
axis_out_tdata[146],0.099,1.88,1.781
axis_out_tdata[149],0.099,1.88,1.781
axis_out_tdata[128],0.098,1.88,1.782
axis_out_tdest[19],0.092,1.88,1.788
axis_out_tdest[18],0.091,1.88,1.789
axis_out_tdest[16],0.091,1.88,1.789
axis_out_tdest[17],0.09,1.88,1.79
axis_out_tid[8],0.089,1.88,1.791
axis_out_tlast[0],0.088,1.88,1.792
axis_out_tid[9],0.088,1.88,1.792
