Port,Port Number,Min Slack (ns),Avg Slack (ns),Max Slack (ns),Paths,Port Delay (ns)
channel_in_ip[-1],-1,0.179,0.179,0.179,5,
channel_in_ip[-1],-1,0.179,0.179,0.179,10,
channel_in_ip[-1],-1,0.179,0.179,0.179,5,
channel_in_ip[-1],-1,0.18,0.18,0.18,5,
channel_in_ip[-1],-1,0.18,0.1805,0.181,10,
channel_in_ip[-1],-1,0.18,0.18044444444444444,0.181,9,
channel_in_ip[-1],-1,0.18,0.18,0.18,5,
channel_in_ip[-1],-1,0.18,0.18,0.18,5,
channel_in_ip[-1],-1,0.18,0.18,0.18,5,
channel_in_ip[-1],-1,0.119,0.119,0.119,1,
channel_in_ip[-1],-1,0.12,0.12,0.12,1,
channel_in_ip[-1],-1,0.12,0.12,0.12,1,
channel_in_ip[-1],-1,0.121,0.121,0.121,1,
channel_in_ip[-1],-1,0.122,0.122,0.122,1,
channel_in_ip[-1],-1,0.122,0.122,0.122,1,
channel_in_ip[-1],-1,0.124,0.124,0.124,1,
channel_in_ip[-1],-1,0.167,0.169,0.171,10,
channel_in_ip[-1],-1,0.167,0.169,0.171,10,
channel_in_ip[-1],-1,0.168,0.17099999999999999,0.174,10,
channel_in_ip[-1],-1,0.169,0.17099999999999999,0.173,10,
channel_in_ip[-1],-1,0.169,0.17099999999999999,0.173,10,
channel_in_ip[-1],-1,0.169,0.172,0.175,10,
channel_in_ip[-1],-1,0.17,0.173,0.176,10,
channel_in_ip[-1],-1,0.17,0.17450000000000002,0.179,10,
channel_in_ip[-1],-1,0.17,0.172,0.174,10,
channel_in_ip[-1],-1,0.17,0.1715,0.173,10,
channel_in_ip[-1],-1,0.171,0.1715,0.172,10,
channel_in_ip[-1],-1,0.171,0.174,0.177,10,
channel_in_ip[-1],-1,0.171,0.173,0.175,10,
channel_in_ip[-1],-1,0.171,0.1715,0.172,10,
channel_in_ip[-1],-1,0.171,0.17350000000000002,0.176,10,
channel_in_ip[-1],-1,0.171,0.174,0.177,10,
channel_in_ip[-1],-1,0.171,0.17350000000000002,0.176,10,
channel_in_ip[-1],-1,0.171,0.1715,0.172,10,
channel_in_ip[-1],-1,0.171,0.17550000000000002,0.18,10,
channel_in_ip[-1],-1,0.171,0.17350000000000002,0.176,10,
channel_in_ip[-1],-1,0.171,0.17350000000000002,0.176,10,
channel_in_ip[-1],-1,0.171,0.174,0.177,10,
channel_in_ip[-1],-1,0.171,0.17450000000000002,0.178,10,
channel_in_ip[-1],-1,0.171,0.1715,0.172,10,
channel_in_ip[-1],-1,0.171,0.17350000000000002,0.176,10,
channel_in_ip[-1],-1,0.172,0.174,0.176,2,
channel_in_ip[-1],-1,0.172,0.172,0.172,10,
channel_in_ip[-1],-1,0.172,0.1725,0.173,10,
channel_in_ip[-1],-1,0.172,0.1725,0.173,10,
channel_in_ip[-1],-1,0.172,0.172,0.172,5,
channel_in_ip[-1],-1,0.172,0.1725,0.173,10,
channel_in_ip[-1],-1,0.172,0.1755,0.179,10,
channel_in_ip[-1],-1,0.172,0.1745,0.177,10,
channel_in_ip[-1],-1,0.172,0.1735,0.175,10,
channel_in_ip[-1],-1,0.172,0.173,0.174,10,
channel_in_ip[-1],-1,0.172,0.1735,0.175,10,
channel_in_ip[-1],-1,0.172,0.175,0.178,10,
channel_in_ip[-1],-1,0.172,0.1735,0.175,10,
channel_in_ip[-1],-1,0.172,0.173,0.174,10,
channel_in_ip[-1],-1,0.172,0.1755,0.179,10,
channel_in_ip[-1],-1,0.172,0.1725,0.173,10,
channel_in_ip[-1],-1,0.173,0.1755,0.178,10,
channel_in_ip[-1],-1,0.173,0.173,0.173,10,
channel_in_ip[-1],-1,0.173,0.174,0.175,10,
channel_in_ip[-1],-1,0.173,0.1755,0.178,10,
channel_in_ip[-1],-1,0.173,0.174,0.175,10,
channel_in_ip[-1],-1,0.173,0.1735,0.174,10,
channel_in_ip[-1],-1,0.173,0.176,0.179,10,
channel_in_ip[-1],-1,0.173,0.1745,0.176,10,
channel_in_ip[-1],-1,0.173,0.1755,0.178,10,
channel_in_ip[-1],-1,0.173,0.1735,0.174,10,
channel_in_ip[-1],-1,0.173,0.174,0.175,10,
channel_in_ip[-1],-1,0.173,0.173,0.173,5,
channel_in_ip[-1],-1,0.173,0.1765,0.18,10,
channel_in_ip[-1],-1,0.173,0.1765,0.18,10,
channel_in_ip[-1],-1,0.173,0.175,0.177,2,
