Endpoint,Startpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status,Path Cells,Cell Types
ordy_1[1],rtr_wrap/ic_1/ibuf1/d_cnt_reg_0_,0.269,1.88,1.611,MET,5,NOR3_X1;SDFF_X1;INV_X1;OAI211_X1
ordy_1[0],rtr_wrap/ic_1/ibuf0/d_cnt_reg_0_,0.224,1.88,1.656,MET,5,NOR3_X1;SDFF_X1;INV_X1;OAI211_X1
ordy_0[1],rtr_wrap/ic_0/ibuf1/d_cnt_reg_0_,0.22,1.88,1.66,MET,5,NOR3_X1;SDFF_X1;INV_X1;OAI211_X1
ordy_4[0],rtr_wrap/ic_4/ibuf0/d_cnt_reg_0_,0.219,1.88,1.661,MET,5,NOR3_X1;SDFF_X1;INV_X1;OAI211_X1
ordy_3[1],rtr_wrap/ic_3/ibuf1/d_cnt_reg_0_,0.214,1.88,1.666,MET,5,NOR3_X1;SDFF_X1;INV_X1;OAI211_X1
ordy_4[1],rtr_wrap/ic_4/ibuf1/d_cnt_reg_0_,0.213,1.88,1.667,MET,5,NOR3_X1;SDFF_X1;INV_X1;OAI211_X1
ordy_2[1],rtr_wrap/ic_2/ibuf1/d_cnt_reg_0_,0.212,1.88,1.668,MET,5,NOR3_X1;SDFF_X1;INV_X1;OAI211_X1
ordy_3[0],rtr_wrap/ic_3/ibuf0/d_cnt_reg_0_,0.211,1.88,1.669,MET,5,NOR3_X1;SDFF_X1;INV_X1;OAI211_X1
ordy_0[0],rtr_wrap/ic_0/ibuf0/d_cnt_reg_0_,0.21,1.88,1.67,MET,5,NOR3_X1;SDFF_X1;INV_X1;OAI211_X1
ordy_2[0],rtr_wrap/ic_2/ibuf0/d_cnt_reg_0_,0.206,1.88,1.674,MET,5,NOR3_X1;SDFF_X1;INV_X1;OAI211_X1
olck_1[1],rtr_wrap/ic_1/vc_1/state_reg_0_,0.202,1.88,1.678,MET,4,NOR2_X1;SDFF_X1;INV_X1
olck_0[1],rtr_wrap/ic_0/vc_1/state_reg_0_,0.194,1.88,1.686,MET,4,NOR2_X1;SDFF_X1;INV_X1
olck_3[0],rtr_wrap/ic_3/vc_0/state_reg_0_,0.193,1.88,1.687,MET,4,NOR2_X1;SDFF_X1;INV_X1
olck_3[1],rtr_wrap/ic_3/vc_1/state_reg_0_,0.191,1.88,1.689,MET,4,NOR2_X1;SDFF_X1;INV_X1
olck_4[1],rtr_wrap/ic_4/vc_1/state_reg_0_,0.19,1.88,1.69,MET,4,NOR2_X1;SDFF_X1;INV_X1
