Endpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status
odata_2[18],0.077,-0.08,0.157,MET
odata_2[34],0.077,-0.08,0.157,MET
odata_2[22],0.077,-0.08,0.157,MET
odata_2[17],0.077,-0.08,0.157,MET
odata_1[29],0.077,-0.08,0.157,MET
odata_2[19],0.077,-0.08,0.157,MET
odata_1[32],0.077,-0.08,0.157,MET
odata_4[24],0.077,-0.08,0.157,MET
odata_3[5],0.077,-0.08,0.157,MET
odata_3[4],0.077,-0.08,0.157,MET
odata_3[6],0.077,-0.08,0.157,MET
odata_2[16],0.077,-0.08,0.157,MET
odata_4[20],0.077,-0.08,0.157,MET
odata_2[23],0.077,-0.08,0.157,MET
odata_2[32],0.078,-0.08,0.158,MET
odata_2[33],0.078,-0.08,0.158,MET
odata_4[4],0.078,-0.08,0.158,MET
odata_4[6],0.078,-0.08,0.158,MET
odata_4[21],0.078,-0.08,0.158,MET
odata_4[26],0.078,-0.08,0.158,MET
odata_3[10],0.078,-0.08,0.158,MET
odata_4[25],0.078,-0.08,0.158,MET
odata_2[12],0.078,-0.08,0.158,MET
odata_2[5],0.078,-0.08,0.158,MET
odata_1[33],0.078,-0.08,0.158,MET
odata_1[23],0.078,-0.08,0.158,MET
odata_3[2],0.078,-0.08,0.158,MET
odata_4[18],0.078,-0.08,0.158,MET
odata_4[3],0.078,-0.08,0.158,MET
odata_2[31],0.078,-0.08,0.158,MET
odata_3[1],0.078,-0.08,0.158,MET
odata_1[30],0.078,-0.08,0.158,MET
odata_1[9],0.078,-0.08,0.158,MET
odata_2[6],0.078,-0.08,0.158,MET
odata_4[17],0.078,-0.08,0.158,MET
odata_4[15],0.078,-0.08,0.158,MET
odata_1[6],0.078,-0.08,0.158,MET
odata_3[7],0.078,-0.08,0.158,MET
odata_2[1],0.078,-0.08,0.158,MET
odata_2[30],0.078,-0.08,0.158,MET
odata_2[29],0.078,-0.08,0.158,MET
odata_4[16],0.078,-0.08,0.158,MET
odata_0[28],0.078,-0.08,0.158,MET
odata_4[2],0.078,-0.08,0.158,MET
odata_2[7],0.078,-0.08,0.158,MET
odata_1[12],0.078,-0.08,0.158,MET
odata_4[5],0.078,-0.08,0.158,MET
odata_2[8],0.078,-0.08,0.158,MET
odata_1[11],0.078,-0.08,0.158,MET
odata_4[1],0.078,-0.08,0.158,MET
odata_4[7],0.078,-0.08,0.158,MET
odata_4[23],0.078,-0.08,0.158,MET
odata_1[18],0.078,-0.08,0.158,MET
odata_3[0],0.078,-0.08,0.158,MET
odata_4[11],0.078,-0.08,0.158,MET
odata_0[12],0.078,-0.08,0.158,MET
odata_0[7],0.078,-0.08,0.158,MET
odata_2[26],0.078,-0.08,0.158,MET
odata_4[34],0.079,-0.08,0.159,MET
odata_2[13],0.079,-0.08,0.159,MET
odata_3[9],0.079,-0.08,0.159,MET
odata_1[17],0.079,-0.08,0.159,MET
odata_2[10],0.079,-0.08,0.159,MET
odata_1[25],0.079,-0.08,0.159,MET
odata_4[0],0.079,-0.08,0.159,MET
odata_2[9],0.079,-0.08,0.159,MET
odata_1[22],0.079,-0.08,0.159,MET
odata_4[14],0.079,-0.08,0.159,MET
odata_4[19],0.079,-0.08,0.159,MET
odata_2[25],0.079,-0.08,0.159,MET
odata_1[34],0.079,-0.08,0.159,MET
odata_0[13],0.079,-0.08,0.159,MET
odata_2[28],0.079,-0.08,0.159,MET
ovalid_1,0.079,-0.08,0.159,MET
odata_3[3],0.079,-0.08,0.159,MET
odata_2[15],0.079,-0.08,0.159,MET
odata_4[22],0.079,-0.08,0.159,MET
odata_1[20],0.079,-0.08,0.159,MET
odata_4[10],0.079,-0.08,0.159,MET
odata_0[19],0.079,-0.08,0.159,MET
odata_0[14],0.079,-0.08,0.159,MET
odata_0[30],0.079,-0.08,0.159,MET
odata_2[27],0.079,-0.08,0.159,MET
odata_1[14],0.079,-0.08,0.159,MET
odata_0[11],0.079,-0.08,0.159,MET
odata_4[12],0.079,-0.08,0.159,MET
odata_3[19],0.079,-0.08,0.159,MET
odata_1[31],0.079,-0.08,0.159,MET
odata_3[30],0.079,-0.08,0.159,MET
ovalid_0,0.079,-0.08,0.159,MET
odata_0[9],0.079,-0.08,0.159,MET
odata_2[20],0.079,-0.08,0.159,MET
odata_2[21],0.079,-0.08,0.159,MET
odata_3[20],0.079,-0.08,0.159,MET
odata_2[11],0.079,-0.08,0.159,MET
odata_2[4],0.079,-0.08,0.159,MET
odata_2[24],0.079,-0.08,0.159,MET
odata_1[19],0.079,-0.08,0.159,MET
odata_4[32],0.079,-0.08,0.159,MET
odata_1[24],0.079,-0.08,0.159,MET
odata_3[25],0.079,-0.08,0.159,MET
odata_0[15],0.079,-0.08,0.159,MET
odata_0[6],0.079,-0.08,0.159,MET
odata_3[11],0.079,-0.08,0.159,MET
odata_2[14],0.079,-0.08,0.159,MET
odata_2[2],0.079,-0.08,0.159,MET
odata_0[29],0.079,-0.08,0.159,MET
odata_1[5],0.079,-0.08,0.159,MET
odata_1[28],0.079,-0.08,0.159,MET
odata_2[0],0.079,-0.08,0.159,MET
odata_1[13],0.079,-0.08,0.159,MET
odata_1[27],0.079,-0.08,0.159,MET
odata_3[21],0.079,-0.08,0.159,MET
odata_1[10],0.079,-0.08,0.159,MET
odata_0[17],0.079,-0.08,0.159,MET
odata_1[26],0.079,-0.08,0.159,MET
odata_4[31],0.079,-0.08,0.159,MET
odata_0[21],0.079,-0.08,0.159,MET
odata_0[20],0.079,-0.08,0.159,MET
ovalid_2,0.079,-0.08,0.159,MET
odata_2[3],0.079,-0.08,0.159,MET
odata_4[9],0.079,-0.08,0.159,MET
odata_3[27],0.079,-0.08,0.159,MET
odata_1[7],0.079,-0.08,0.159,MET
odata_4[30],0.079,-0.08,0.159,MET
odata_3[24],0.079,-0.08,0.159,MET
odata_4[13],0.079,-0.08,0.159,MET
odata_0[16],0.079,-0.08,0.159,MET
odata_3[26],0.079,-0.08,0.159,MET
odata_4[8],0.079,-0.08,0.159,MET
odata_3[32],0.08,-0.08,0.16,MET
odata_3[8],0.08,-0.08,0.16,MET
odata_3[31],0.08,-0.08,0.16,MET
odata_0[10],0.08,-0.08,0.16,MET
odata_0[22],0.08,-0.08,0.16,MET
odata_4[33],0.08,-0.08,0.16,MET
odata_0[23],0.08,-0.08,0.16,MET
odata_1[15],0.08,-0.08,0.16,MET
odata_3[16],0.08,-0.08,0.16,MET
odata_1[0],0.08,-0.08,0.16,MET
odata_4[29],0.08,-0.08,0.16,MET
odata_3[33],0.08,-0.08,0.16,MET
odata_3[13],0.08,-0.08,0.16,MET
odata_1[16],0.08,-0.08,0.16,MET
odata_3[12],0.08,-0.08,0.16,MET
odata_0[31],0.08,-0.08,0.16,MET
odata_3[22],0.08,-0.08,0.16,MET
odata_3[28],0.08,-0.08,0.16,MET
odata_3[17],0.08,-0.08,0.16,MET
odata_3[23],0.08,-0.08,0.16,MET
odata_0[25],0.08,-0.08,0.16,MET
odata_1[21],0.08,-0.08,0.16,MET
odata_0[18],0.08,-0.08,0.16,MET
odata_3[18],0.08,-0.08,0.16,MET
odata_4[27],0.08,-0.08,0.16,MET
odata_0[24],0.08,-0.08,0.16,MET
odata_0[33],0.08,-0.08,0.16,MET
odata_1[2],0.08,-0.08,0.16,MET
odata_3[15],0.081,-0.08,0.161,MET
odata_3[29],0.081,-0.08,0.161,MET
odata_1[8],0.081,-0.08,0.161,MET
odata_0[34],0.081,-0.08,0.161,MET
odata_1[1],0.081,-0.08,0.161,MET
odata_1[3],0.081,-0.08,0.161,MET
odata_0[5],0.081,-0.08,0.161,MET
odata_0[8],0.081,-0.08,0.161,MET
odata_4[28],0.081,-0.08,0.161,MET
odata_0[32],0.081,-0.08,0.161,MET
odata_3[34],0.081,-0.08,0.161,MET
odata_0[3],0.081,-0.08,0.161,MET
odata_1[4],0.081,-0.08,0.161,MET
odata_0[27],0.081,-0.08,0.161,MET
odata_0[26],0.081,-0.08,0.161,MET
odata_3[14],0.081,-0.08,0.161,MET
odata_0[4],0.081,-0.08,0.161,MET
ovalid_4,0.082,-0.08,0.162,MET
ovalid_3,0.082,-0.08,0.162,MET
odata_0[0],0.082,-0.08,0.162,MET
odata_0[2],0.083,-0.08,0.163,MET
odata_0[1],0.083,-0.08,0.163,MET
ovch_2,0.086,-0.08,0.166,MET
ovch_0,0.086,-0.08,0.166,MET
ovch_1,0.086,-0.08,0.166,MET
