Port,Port Number,Min Slack (ns),Avg Slack (ns),Max Slack (ns),Paths,Port Delay (ns)
channel_in_ip[-1],-1,0.34,0.41733333333333333,0.459,6,
channel_in_ip[-1],-1,0.115,0.115,0.115,1,
channel_in_ip[-1],-1,0.116,0.116,0.116,1,
channel_in_ip[-1],-1,0.116,0.116,0.116,1,
channel_in_ip[-1],-1,0.116,0.116,0.116,1,
channel_in_ip[-1],-1,0.114,0.114,0.114,1,
channel_in_ip[-1],-1,0.113,0.113,0.113,1,
channel_in_ip[-1],-1,0.113,0.113,0.113,1,
channel_in_ip[-1],-1,0.114,0.114,0.114,1,
channel_in_ip[-1],-1,0.155,0.155,0.155,1,
channel_in_ip[-1],-1,0.315,0.39199999999999996,0.434,3,
channel_in_ip[-1],-1,0.312,0.41783333333333333,0.513,6,
channel_in_ip[-1],-1,0.157,0.157,0.157,1,
channel_in_ip[-1],-1,0.124,0.124,0.124,1,
channel_in_ip[-1],-1,0.123,0.123,0.123,1,
channel_in_ip[-1],-1,0.122,0.122,0.122,1,
channel_in_ip[-1],-1,0.129,0.129,0.129,1,
channel_in_ip[-1],-1,0.112,0.112,0.112,1,
channel_in_ip[0],0,0.115,0.115,0.115,1,0.005
channel_in_ip[1],1,0.113,0.113,0.113,1,0.004
channel_in_ip[2],2,0.08,0.08,0.08,1,0.005
channel_in_ip[3],3,0.081,0.081,0.081,1,0.005
channel_in_ip[4],4,0.08,0.08,0.08,1,0.005
channel_in_ip[5],5,0.079,0.079,0.079,1,0.004
channel_in_ip[6],6,0.109,0.109,0.109,1,0.003
channel_in_ip[7],7,0.105,0.105,0.105,1,0.002
channel_in_ip[8],8,0.105,0.105,0.105,1,0.003
channel_in_ip[9],9,0.103,0.103,0.103,1,0.002
channel_in_ip[10],10,0.104,0.104,0.104,1,0.003
channel_in_ip[11],11,0.103,0.103,0.103,1,0.002
channel_in_ip[12],12,0.104,0.104,0.104,1,0.002
channel_in_ip[13],13,0.103,0.103,0.103,1,0.003
channel_in_ip[14],14,0.104,0.104,0.104,1,0.003
channel_in_ip[15],15,0.104,0.104,0.104,1,0.002
channel_in_ip[16],16,0.104,0.104,0.104,1,0.002
channel_in_ip[17],17,0.104,0.104,0.104,1,0.003
channel_in_ip[18],18,0.104,0.104,0.104,1,0.002
channel_in_ip[19],19,0.103,0.103,0.103,1,0.002
channel_in_ip[20],20,0.105,0.105,0.105,1,0.003
channel_in_ip[21],21,0.104,0.104,0.104,1,0.002
channel_in_ip[22],22,0.104,0.104,0.104,1,0.003
channel_in_ip[23],23,0.104,0.104,0.104,1,0.002
channel_in_ip[24],24,0.103,0.103,0.103,1,0.002
channel_in_ip[25],25,0.104,0.104,0.104,1,0.003
channel_in_ip[26],26,0.103,0.103,0.103,1,0.002
channel_in_ip[27],27,0.104,0.104,0.104,1,0.003
channel_in_ip[28],28,0.103,0.103,0.103,1,0.002
channel_in_ip[29],29,0.103,0.103,0.103,1,0.002
channel_in_ip[30],30,0.105,0.105,0.105,1,0.002
