Startpoint,Data_Arrival_Time,Data_Required_Time,Slack,Status,Port_Name,Port_Delay,Library_Setup_Time
router_address[1],0.92,1.939,1.019,MET,router_address[1],0.012,-0.041
router_address[1],0.918,1.939,1.021,MET,router_address[1],0.012,-0.041
router_address[1],0.907,1.939,1.032,MET,router_address[1],0.012,-0.041
router_address[1],0.903,1.939,1.036,MET,router_address[1],0.012,-0.041
router_address[1],0.895,1.939,1.045,MET,router_address[1],0.012,-0.041
router_address[1],0.886,1.939,1.053,MET,router_address[1],0.012,-0.041
router_address[1],0.749,1.939,1.19,MET,router_address[1],0.05,-0.041
router_address[1],0.748,1.939,1.191,MET,router_address[1],0.05,-0.041
router_address[1],0.734,1.949,1.214,MET,router_address[1],0.05,-0.031
router_address[1],0.722,1.939,1.217,MET,router_address[1],0.05,-0.041
router_address[1],0.721,1.939,1.219,MET,router_address[1],0.05,-0.041
router_address[1],0.708,1.949,1.24,MET,router_address[1],0.05,-0.031
router_address[1],0.657,1.939,1.283,MET,router_address[1],0.05,-0.041
router_address[1],0.65,1.939,1.289,MET,router_address[1],0.05,-0.041
router_address[1],0.632,1.939,1.307,MET,router_address[1],0.05,-0.041
channel_in_ip[282],0.184,1.923,1.739,MET,channel_in_ip[282],0.002,-0.057
channel_in_ip[140],0.201,1.94,1.739,MET,channel_in_ip[140],0.011,-0.04
channel_in_ip[280],0.201,1.94,1.74,MET,channel_in_ip[280],0.011,-0.04
channel_in_ip[142],0.182,1.923,1.741,MET,channel_in_ip[142],0.002,-0.057
channel_in_ip[143],0.18,1.924,1.744,MET,channel_in_ip[143],0.003,-0.056
channel_in_ip[283],0.178,1.924,1.745,MET,channel_in_ip[283],0.001,-0.056
flow_ctrl_in_op[2],0.195,1.941,1.746,MET,,,-0.039
flow_ctrl_in_op[1],0.193,1.941,1.748,MET,,,-0.039
channel_in_ip[285],0.175,1.925,1.749,MET,channel_in_ip[285],0.001,-0.055
channel_in_ip[210],0.186,1.941,1.755,MET,channel_in_ip[210],0.002,-0.039
channel_in_ip[281],0.175,1.939,1.764,MET,channel_in_ip[281],0.012,-0.041
channel_in_ip[141],0.175,1.939,1.764,MET,channel_in_ip[141],0.012,-0.041
flow_ctrl_in_op[0],0.167,1.939,1.772,MET,,,-0.041
flow_ctrl_in_op[14],0.164,1.939,1.776,MET,,,-0.041
flow_ctrl_in_op[12],0.163,1.939,1.776,MET,,,-0.041
flow_ctrl_in_op[13],0.162,1.939,1.777,MET,,,-0.041
channel_in_ip[71],0.16,1.939,1.779,MET,channel_in_ip[71],0.004,-0.041
channel_in_ip[70],0.16,1.939,1.779,MET,channel_in_ip[70],0.003,-0.041
flow_ctrl_in_op[9],0.159,1.939,1.78,MET,,,-0.041
channel_in_ip[0],0.159,1.939,1.78,MET,channel_in_ip[0],0.002,-0.041
flow_ctrl_in_op[8],0.159,1.939,1.78,MET,,,-0.041
flow_ctrl_in_op[6],0.158,1.939,1.781,MET,,,-0.041
flow_ctrl_in_op[7],0.158,1.939,1.781,MET,,,-0.041
channel_in_ip[145],0.167,1.948,1.781,MET,channel_in_ip[145],0.023,-0.032
flow_ctrl_in_op[4],0.157,1.939,1.782,MET,,,-0.041
channel_in_ip[1],0.157,1.939,1.782,MET,channel_in_ip[1],0.002,-0.041
channel_in_ip[211],0.157,1.939,1.782,MET,channel_in_ip[211],0.002,-0.041
flow_ctrl_in_op[10],0.157,1.939,1.782,MET,,,-0.041
flow_ctrl_in_op[5],0.157,1.939,1.782,MET,,,-0.041
flow_ctrl_in_op[3],0.157,1.939,1.783,MET,,,-0.041
flow_ctrl_in_op[11],0.156,1.939,1.783,MET,,,-0.041
channel_in_ip[284],0.165,1.949,1.783,MET,channel_in_ip[284],0.025,-0.031
channel_in_ip[273],0.155,1.941,1.785,MET,channel_in_ip[273],0.002,-0.039
channel_in_ip[144],0.163,1.948,1.786,MET,channel_in_ip[144],0.022,-0.032
