Endpoint,Startpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status,Path Cells,Cell Types
channel_out_op[140],genblk1_vcr/ops_2__opc/flit_validq/q_reg_0_,0.41,1.88,1.47,MET,6,DFFR_X1;CLKBUF_X1;INV_X1;OR2_X1
channel_out_op[0],genblk1_vcr/ops_0__opc/flit_validq/q_reg_0_,0.341,1.88,1.539,MET,4,DFFR_X1;CLKBUF_X1;OR2_X1
channel_out_op[70],genblk1_vcr/ops_1__opc/flit_validq/q_reg_0_,0.331,1.88,1.549,MET,4,DFFR_X1;CLKBUF_X1;OR2_X1
error,genblk1_vcr/genblk3_chk/genblk1_errorsq/q_reg_4_,0.307,1.88,1.573,MET,5,DFFR_X1;CLKBUF_X1;NAND3_X1;NOR4_X1
channel_out_op[210],genblk1_vcr/ops_3__opc/flit_validq/q_reg_0_,0.283,1.88,1.597,MET,4,DFFR_X2;CLKBUF_X1;OR2_X1
flow_ctrl_out_ip[6],genblk1_vcr/ips_2__ipc/fco/genblk1_cred_validq/q_reg_0_,0.28,1.88,1.6,MET,2,DFFR_X1
flow_ctrl_out_ip[7],genblk1_vcr/ips_2__ipc/fco/genblk1_genblk1_cred_vcq/q_reg_0_,0.266,1.88,1.614,MET,2,DFF_X1
channel_out_op[280],genblk1_vcr/ops_4__opc/flit_validq/q_reg_0_,0.253,1.88,1.627,MET,4,DFFR_X1;CLKBUF_X3;OR2_X1
flow_ctrl_out_ip[8],genblk1_vcr/ips_2__ipc/fco/genblk1_genblk1_cred_vcq/q_reg_1_,0.251,1.88,1.629,MET,2,DFF_X1
flow_ctrl_out_ip[12],genblk1_vcr/ips_4__ipc/fco/genblk1_cred_validq/q_reg_0_,0.217,1.88,1.663,MET,2,DFFR_X1
flow_ctrl_out_ip[9],genblk1_vcr/ips_3__ipc/fco/genblk1_cred_validq/q_reg_0_,0.188,1.88,1.692,MET,2,DFFR_X1
flow_ctrl_out_ip[3],genblk1_vcr/ips_1__ipc/fco/genblk1_cred_validq/q_reg_0_,0.178,1.88,1.702,MET,2,DFFR_X1
flow_ctrl_out_ip[0],genblk1_vcr/ips_0__ipc/fco/genblk1_cred_validq/q_reg_0_,0.17,1.88,1.71,MET,2,DFFR_X1
flow_ctrl_out_ip[10],genblk1_vcr/ips_3__ipc/fco/genblk1_genblk1_cred_vcq/q_reg_0_,0.167,1.88,1.713,MET,2,DFF_X1
channel_out_op[346],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_60_,0.166,1.88,1.714,MET,2,DFF_X1
channel_out_op[343],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_57_,0.165,1.88,1.715,MET,2,DFF_X1
channel_out_op[306],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_20_,0.164,1.88,1.716,MET,2,DFF_X1
channel_out_op[345],genblk1_vcr/ops_4__opc/cho/flit_dataq/q_reg_59_,0.164,1.88,1.716,MET,2,DFF_X1
flow_ctrl_out_ip[11],genblk1_vcr/ips_3__ipc/fco/genblk1_genblk1_cred_vcq/q_reg_1_,0.164,1.88,1.716,MET,2,DFF_X1
