Startpoint,Data_Arrival_Time,Data_Required_Time,Slack,Status,Port_Name,Port_Delay,Library_Setup_Time
axis_out_tready[0],0.729,1.896,1.167,MET,,,-0.084
axis_out_tready[0],0.727,1.896,1.168,MET,,,-0.084
axis_out_tready[0],0.725,1.896,1.17,MET,,,-0.084
axis_out_tready[0],0.722,1.896,1.173,MET,,,-0.084
axis_out_tready[0],0.722,1.895,1.173,MET,,,-0.085
axis_out_tready[0],0.722,1.896,1.174,MET,,,-0.084
axis_out_tready[0],0.72,1.895,1.175,MET,,,-0.085
axis_out_tready[0],0.719,1.896,1.176,MET,,,-0.084
axis_out_tready[0],0.719,1.896,1.176,MET,,,-0.084
axis_out_tready[0],0.719,1.896,1.177,MET,,,-0.084
axis_out_tready[0],0.718,1.896,1.178,MET,,,-0.084
axis_out_tready[0],0.716,1.895,1.179,MET,,,-0.085
axis_out_tready[0],0.715,1.895,1.18,MET,,,-0.085
axis_out_tready[0],0.713,1.896,1.183,MET,,,-0.084
axis_out_tready[0],0.704,1.895,1.192,MET,,,-0.085
axis_out_tready[0],0.703,1.896,1.193,MET,,,-0.084
axis_out_tready[0],0.7,1.896,1.195,MET,,,-0.084
axis_out_tready[0],0.698,1.896,1.197,MET,,,-0.084
axis_out_tready[0],0.694,1.896,1.201,MET,,,-0.084
axis_out_tready[0],0.658,1.896,1.237,MET,,,-0.084
axis_out_tready[0],0.657,1.896,1.239,MET,,,-0.084
axis_out_tready[0],0.649,1.896,1.247,MET,,,-0.084
axis_out_tready[0],0.648,1.896,1.248,MET,,,-0.084
axis_out_tready[0],0.647,1.896,1.248,MET,,,-0.084
axis_out_tready[0],0.646,1.895,1.249,MET,,,-0.085
axis_out_tready[0],0.641,1.896,1.255,MET,,,-0.084
axis_out_tready[0],0.63,1.895,1.265,MET,,,-0.085
axis_out_tready[0],0.63,1.896,1.265,MET,,,-0.084
axis_out_tready[0],0.574,1.896,1.322,MET,,,-0.084
axis_out_tready[0],0.572,1.895,1.323,MET,,,-0.085
axis_out_tready[0],0.57,1.896,1.325,MET,,,-0.084
axis_out_tready[0],0.565,1.895,1.331,MET,,,-0.085
axis_out_tready[0],0.511,1.896,1.385,MET,,,-0.084
axis_out_tready[0],0.511,1.896,1.385,MET,,,-0.084
axis_out_tready[0],0.51,1.896,1.386,MET,,,-0.084
axis_out_tready[0],0.509,1.896,1.386,MET,,,-0.084
axis_out_tready[0],0.509,1.896,1.387,MET,,,-0.084
axis_out_tready[0],0.508,1.896,1.387,MET,,,-0.084
axis_out_tready[0],0.506,1.896,1.389,MET,,,-0.084
axis_in_tvalid[0],0.331,1.836,1.505,MET,,,
axis_in_tvalid[0],0.329,1.837,1.508,MET,,,
axis_in_tvalid[0],0.328,1.837,1.509,MET,,,
axis_in_tvalid[4],0.325,1.836,1.511,MET,,,
axis_in_tvalid[0],0.326,1.838,1.511,MET,,,
axis_in_tvalid[3],0.319,1.835,1.516,MET,,,
axis_in_tvalid[4],0.32,1.838,1.517,MET,,,
axis_in_tvalid[4],0.32,1.838,1.518,MET,,,
axis_in_tvalid[3],0.317,1.836,1.518,MET,,,
axis_in_tvalid[2],0.318,1.837,1.519,MET,,,
axis_in_tvalid[4],0.318,1.838,1.52,MET,,,
axis_in_tvalid[2],0.315,1.837,1.522,MET,,,
axis_in_tvalid[1],0.311,1.836,1.525,MET,,,
axis_in_tvalid[2],0.313,1.838,1.525,MET,,,
axis_in_tvalid[3],0.312,1.837,1.525,MET,,,
axis_in_tvalid[1],0.31,1.836,1.527,MET,,,
axis_in_tvalid[2],0.305,1.84,1.534,MET,,,
axis_in_tvalid[1],0.302,1.838,1.536,MET,,,
axis_in_tvalid[3],0.302,1.839,1.537,MET,,,
axis_in_tvalid[1],0.3,1.838,1.538,MET,,,
axis_in_tvalid[0],0.346,1.894,1.548,MET,,,
