Endpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status
axis_out_tid[9],0.084,-0.08,0.164,MET
axis_out_tlast[0],0.084,-0.08,0.164,MET
axis_out_tid[8],0.084,-0.08,0.164,MET
axis_out_tdest[17],0.085,-0.08,0.165,MET
axis_out_tdest[16],0.086,-0.08,0.166,MET
axis_out_tdest[18],0.086,-0.08,0.166,MET
axis_out_tdest[19],0.087,-0.08,0.167,MET
axis_out_tdata[128],0.092,-0.08,0.172,MET
axis_out_tdata[149],0.092,-0.08,0.172,MET
axis_out_tdata[146],0.092,-0.08,0.172,MET
axis_out_tdata[145],0.093,-0.08,0.173,MET
axis_out_tdata[133],0.093,-0.08,0.173,MET
axis_out_tdata[138],0.093,-0.08,0.173,MET
axis_out_tdata[151],0.093,-0.08,0.173,MET
axis_out_tdata[148],0.093,-0.08,0.173,MET
axis_out_tdata[130],0.094,-0.08,0.174,MET
axis_out_tdata[156],0.094,-0.08,0.174,MET
axis_out_tdata[129],0.094,-0.08,0.174,MET
axis_out_tdata[134],0.094,-0.08,0.174,MET
axis_out_tdata[136],0.094,-0.08,0.174,MET
axis_out_tdata[144],0.094,-0.08,0.174,MET
axis_out_tdata[143],0.094,-0.08,0.174,MET
axis_out_tdata[135],0.094,-0.08,0.174,MET
axis_out_tdata[147],0.095,-0.08,0.175,MET
axis_out_tdata[153],0.095,-0.08,0.175,MET
axis_out_tdata[139],0.095,-0.08,0.175,MET
axis_out_tdata[142],0.095,-0.08,0.175,MET
axis_out_tdata[154],0.095,-0.08,0.175,MET
axis_out_tdata[158],0.095,-0.08,0.175,MET
axis_out_tdata[132],0.095,-0.08,0.175,MET
axis_out_tdata[131],0.095,-0.08,0.175,MET
axis_out_tdata[140],0.096,-0.08,0.176,MET
axis_out_tdata[137],0.096,-0.08,0.176,MET
axis_out_tdata[157],0.096,-0.08,0.176,MET
axis_out_tdata[152],0.096,-0.08,0.176,MET
axis_out_tdata[150],0.096,-0.08,0.176,MET
axis_out_tdata[141],0.096,-0.08,0.176,MET
axis_out_tdata[155],0.097,-0.08,0.177,MET
axis_out_tdata[159],0.098,-0.08,0.178,MET
axis_in_tready[1],0.15,-0.08,0.23,MET
axis_in_tready[0],0.151,-0.08,0.231,MET
axis_in_tready[2],0.153,-0.08,0.233,MET
axis_out_tvalid[1],0.153,-0.08,0.233,MET
axis_out_tvalid[2],0.156,-0.08,0.236,MET
axis_out_tvalid[3],0.159,-0.08,0.239,MET
axis_out_tvalid[4],0.161,-0.08,0.241,MET
axis_in_tready[4],0.162,-0.08,0.242,MET
axis_in_tready[3],0.164,-0.08,0.244,MET
axis_out_tvalid[0],0.241,-0.08,0.321,MET
