Startpoint,Data_Arrival_Time,Data_Required_Time,Slack,Status,Port_Name,Port_Delay,Library_Setup_Time
my_xpos[0] (input port clocked by ideal_clock),1.048,1.894,0.845,MET,,,-0.086
my_xpos[1] (input port clocked by ideal_clock),1.048,1.895,0.846,MET,,,-0.085
my_xpos[0] (input port clocked by ideal_clock),1.043,1.894,0.851,MET,,,-0.086
my_xpos[0] (input port clocked by ideal_clock),1.042,1.894,0.852,MET,,,-0.086
my_xpos[1] (input port clocked by ideal_clock),1.037,1.895,0.858,MET,,,-0.085
my_xpos[0] (input port clocked by ideal_clock),1.035,1.894,0.858,MET,,,-0.086
my_xpos[0] (input port clocked by ideal_clock),1.034,1.894,0.86,MET,,,-0.086
my_xpos[1] (input port clocked by ideal_clock),1.033,1.894,0.862,MET,,,-0.086
my_xpos[1] (input port clocked by ideal_clock),1.028,1.895,0.866,MET,,,-0.085
my_xpos[0] (input port clocked by ideal_clock),1.027,1.894,0.867,MET,,,-0.086
my_xpos[1] (input port clocked by ideal_clock),0.928,1.911,0.983,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.923,1.911,0.988,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.915,1.913,0.998,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.912,1.912,1.001,MET,,,
my_xpos[0] (input port clocked by ideal_clock),0.899,1.912,1.013,MET,,,
my_xpos[0] (input port clocked by ideal_clock),0.897,1.913,1.016,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.894,1.911,1.016,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.892,1.911,1.02,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.891,1.911,1.02,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.889,1.912,1.023,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.864,1.911,1.047,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.851,1.911,1.06,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.84,1.91,1.07,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.808,1.91,1.102,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.803,1.912,1.109,MET,,,
my_xpos[0] (input port clocked by ideal_clock),0.756,1.894,1.138,MET,,,-0.086
my_xpos[0] (input port clocked by ideal_clock),0.755,1.893,1.139,MET,,,-0.087
my_xpos[0] (input port clocked by ideal_clock),0.753,1.894,1.141,MET,,,-0.086
ivch_1 (input port clocked by ideal_clock),0.617,1.763,1.146,MET,,,
my_xpos[0] (input port clocked by ideal_clock),0.747,1.893,1.147,MET,,,-0.087
my_xpos[0] (input port clocked by ideal_clock),0.745,1.893,1.148,MET,,,-0.087
my_xpos[0] (input port clocked by ideal_clock),0.746,1.894,1.148,MET,,,-0.086
my_xpos[1] (input port clocked by ideal_clock),0.742,1.893,1.152,MET,,,-0.087
my_xpos[1] (input port clocked by ideal_clock),0.741,1.893,1.152,MET,,,-0.087
ivch_4 (input port clocked by ideal_clock),0.61,1.762,1.152,MET,,,
my_xpos[0] (input port clocked by ideal_clock),0.733,1.889,1.155,MET,,,-0.091
my_xpos[1] (input port clocked by ideal_clock),0.738,1.893,1.155,MET,,,-0.087
my_xpos[1] (input port clocked by ideal_clock),0.728,1.888,1.161,MET,,,-0.092
my_xpos[0] (input port clocked by ideal_clock),0.727,1.888,1.161,MET,,,-0.092
ivch_1 (input port clocked by ideal_clock),0.601,1.762,1.161,MET,,,
ivch_4 (input port clocked by ideal_clock),0.596,1.76,1.164,MET,,,
ivch_1 (input port clocked by ideal_clock),0.596,1.762,1.166,MET,,,
ivch_1 (input port clocked by ideal_clock),0.595,1.762,1.168,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.72,1.889,1.168,MET,,,-0.091
ivch_4 (input port clocked by ideal_clock),0.591,1.76,1.169,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.719,1.888,1.169,MET,,,-0.092
my_xpos[0] (input port clocked by ideal_clock),0.723,1.894,1.17,MET,,,-0.086
ivch_4 (input port clocked by ideal_clock),0.588,1.76,1.173,MET,,,
my_xpos[1] (input port clocked by ideal_clock),0.719,1.894,1.174,MET,,,-0.086
my_xpos[1] (input port clocked by ideal_clock),0.712,1.889,1.177,MET,,,-0.091
my_xpos[1] (input port clocked by ideal_clock),0.716,1.894,1.178,MET,,,-0.086
my_xpos[1] (input port clocked by ideal_clock),0.711,1.894,1.183,MET,,,-0.086
my_xpos[0] (input port clocked by ideal_clock),0.71,1.895,1.184,MET,,,-0.085
my_xpos[1] (input port clocked by ideal_clock),0.705,1.895,1.19,MET,,,-0.085
my_xpos[1] (input port clocked by ideal_clock),0.697,1.889,1.192,MET,,,-0.091
my_xpos[1] (input port clocked by ideal_clock),0.69,1.888,1.198,MET,,,-0.092
my_xpos[1] (input port clocked by ideal_clock),0.687,1.888,1.201,MET,,,-0.092
my_xpos[1] (input port clocked by ideal_clock),0.683,1.888,1.205,MET,,,-0.092
ivch_1 (input port clocked by ideal_clock),0.557,1.764,1.206,MET,,,
ivch_2 (input port clocked by ideal_clock),0.516,1.761,1.245,MET,,,
ivch_2 (input port clocked by ideal_clock),0.508,1.762,1.254,MET,,,
ivch_1 (input port clocked by ideal_clock),0.632,1.891,1.259,MET,,,-0.089
ivch_0 (input port clocked by ideal_clock),0.579,1.842,1.263,MET,,,
ivch_1 (input port clocked by ideal_clock),0.621,1.891,1.27,MET,,,-0.089
ivch_4 (input port clocked by ideal_clock),0.62,1.891,1.271,MET,,,-0.089
ivch_4 (input port clocked by ideal_clock),0.612,1.892,1.28,MET,,,-0.088
ivch_0 (input port clocked by ideal_clock),0.56,1.84,1.28,MET,,,
ivch_1 (input port clocked by ideal_clock),0.611,1.891,1.28,MET,,,-0.089
ivch_1 (input port clocked by ideal_clock),0.611,1.891,1.28,MET,,,-0.089
ivch_1 (input port clocked by ideal_clock),0.611,1.891,1.28,MET,,,-0.089
ivch_1 (input port clocked by ideal_clock),0.611,1.891,1.28,MET,,,-0.089
ivch_1 (input port clocked by ideal_clock),0.611,1.891,1.28,MET,,,-0.089
ivch_0 (input port clocked by ideal_clock),0.561,1.841,1.281,MET,,,
ivch_1 (input port clocked by ideal_clock),0.611,1.892,1.281,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.611,1.892,1.281,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.611,1.892,1.281,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.611,1.892,1.281,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.611,1.892,1.281,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.61,1.892,1.282,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.61,1.892,1.282,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.61,1.892,1.282,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.61,1.892,1.282,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.61,1.892,1.282,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.609,1.892,1.282,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.609,1.892,1.282,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.609,1.892,1.282,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.609,1.892,1.282,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.609,1.892,1.282,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.609,1.892,1.283,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.609,1.892,1.283,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.609,1.892,1.283,MET,,,-0.088
ivch_1 (input port clocked by ideal_clock),0.609,1.892,1.283,MET,,,-0.088
