Endpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns)
ordy_1[1],0.269,1.88,1.611
ordy_1[0],0.224,1.88,1.656
ordy_0[1],0.22,1.88,1.66
ordy_4[0],0.219,1.88,1.661
ordy_3[1],0.214,1.88,1.666
ordy_4[1],0.213,1.88,1.667
ordy_2[1],0.212,1.88,1.668
ordy_3[0],0.211,1.88,1.669
ordy_0[0],0.21,1.88,1.67
ordy_2[0],0.206,1.88,1.674
olck_1[1],0.202,1.88,1.678
olck_0[1],0.194,1.88,1.686
olck_3[0],0.193,1.88,1.687
olck_3[1],0.191,1.88,1.689
olck_4[1],0.19,1.88,1.69
olck_4[0],0.189,1.88,1.691
olck_0[0],0.187,1.88,1.693
olck_1[0],0.185,1.88,1.695
olck_2[0],0.169,1.88,1.711
olck_2[1],0.162,1.88,1.718
oack_4[1],0.141,1.88,1.739
oack_4[0],0.132,1.88,1.748
oack_1[1],0.124,1.88,1.756
oack_3[0],0.123,1.88,1.757
oack_3[1],0.121,1.88,1.759
oack_1[0],0.12,1.88,1.76
oack_0[0],0.12,1.88,1.76
oack_0[1],0.12,1.88,1.76
oack_2[1],0.115,1.88,1.765
oack_2[0],0.112,1.88,1.768
ovch_3,0.093,1.88,1.787
ovch_4,0.093,1.88,1.787
ovch_1,0.089,1.88,1.791
ovch_0,0.089,1.88,1.791
ovch_2,0.089,1.88,1.791
odata_0[1],0.084,1.88,1.796
odata_0[2],0.084,1.88,1.796
odata_0[0],0.084,1.88,1.796
ovalid_3,0.083,1.88,1.797
ovalid_4,0.083,1.88,1.797
odata_0[4],0.082,1.88,1.798
odata_3[14],0.082,1.88,1.798
odata_0[26],0.082,1.88,1.798
odata_0[27],0.082,1.88,1.798
odata_0[3],0.081,1.88,1.799
odata_1[4],0.081,1.88,1.799
odata_0[32],0.081,1.88,1.799
odata_3[34],0.081,1.88,1.799
odata_4[28],0.081,1.88,1.799
odata_0[8],0.081,1.88,1.799
odata_0[5],0.081,1.88,1.799
odata_1[1],0.081,1.88,1.799
odata_1[3],0.081,1.88,1.799
odata_0[34],0.081,1.88,1.799
odata_1[8],0.081,1.88,1.799
