Endpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status
channel_out_op[283],0.089,-0.08,0.169,MET
channel_out_op[161],0.089,-0.08,0.169,MET
channel_out_op[213],0.089,-0.08,0.169,MET
channel_out_op[285],0.089,-0.08,0.169,MET
channel_out_op[190],0.089,-0.08,0.169,MET
channel_out_op[214],0.09,-0.08,0.17,MET
channel_out_op[215],0.09,-0.08,0.17,MET
channel_out_op[282],0.09,-0.08,0.17,MET
channel_out_op[189],0.09,-0.08,0.17,MET
channel_out_op[212],0.09,-0.08,0.17,MET
channel_out_op[156],0.09,-0.08,0.17,MET
channel_out_op[164],0.09,-0.08,0.17,MET
channel_out_op[284],0.09,-0.08,0.17,MET
channel_out_op[194],0.09,-0.08,0.17,MET
channel_out_op[120],0.091,-0.08,0.171,MET
channel_out_op[162],0.091,-0.08,0.171,MET
channel_out_op[121],0.091,-0.08,0.171,MET
channel_out_op[146],0.091,-0.08,0.171,MET
channel_out_op[139],0.091,-0.08,0.171,MET
channel_out_op[152],0.092,-0.08,0.172,MET
channel_out_op[216],0.092,-0.08,0.172,MET
channel_out_op[196],0.092,-0.08,0.172,MET
channel_out_op[153],0.092,-0.08,0.172,MET
channel_out_op[154],0.092,-0.08,0.172,MET
channel_out_op[124],0.092,-0.08,0.172,MET
channel_out_op[209],0.092,-0.08,0.172,MET
channel_out_op[222],0.093,-0.08,0.173,MET
channel_out_op[147],0.093,-0.08,0.173,MET
channel_out_op[126],0.093,-0.08,0.173,MET
channel_out_op[169],0.093,-0.08,0.173,MET
channel_out_op[217],0.093,-0.08,0.173,MET
channel_out_op[119],0.093,-0.08,0.173,MET
channel_out_op[191],0.093,-0.08,0.173,MET
channel_out_op[158],0.094,-0.08,0.174,MET
channel_out_op[130],0.094,-0.08,0.174,MET
channel_out_op[131],0.094,-0.08,0.174,MET
channel_out_op[122],0.094,-0.08,0.174,MET
channel_out_op[125],0.094,-0.08,0.174,MET
channel_out_op[148],0.094,-0.08,0.174,MET
channel_out_op[155],0.094,-0.08,0.174,MET
channel_out_op[188],0.094,-0.08,0.174,MET
channel_out_op[180],0.094,-0.08,0.174,MET
channel_out_op[223],0.094,-0.08,0.174,MET
channel_out_op[129],0.094,-0.08,0.174,MET
channel_out_op[118],0.094,-0.08,0.174,MET
channel_out_op[127],0.094,-0.08,0.174,MET
channel_out_op[197],0.094,-0.08,0.174,MET
channel_out_op[192],0.095,-0.08,0.175,MET
channel_out_op[193],0.095,-0.08,0.175,MET
channel_out_op[137],0.095,-0.08,0.175,MET
channel_out_op[128],0.095,-0.08,0.175,MET
channel_out_op[123],0.095,-0.08,0.175,MET
channel_out_op[195],0.095,-0.08,0.175,MET
channel_out_op[151],0.095,-0.08,0.175,MET
channel_out_op[200],0.095,-0.08,0.175,MET
channel_out_op[224],0.095,-0.08,0.175,MET
channel_out_op[178],0.096,-0.08,0.176,MET
channel_out_op[150],0.096,-0.08,0.176,MET
channel_out_op[160],0.096,-0.08,0.176,MET
channel_out_op[198],0.096,-0.08,0.176,MET
channel_out_op[201],0.097,-0.08,0.177,MET
channel_out_op[171],0.097,-0.08,0.177,MET
channel_out_op[181],0.097,-0.08,0.177,MET
channel_out_op[149],0.097,-0.08,0.177,MET
channel_out_op[165],0.097,-0.08,0.177,MET
channel_out_op[202],0.097,-0.08,0.177,MET
channel_out_op[234],0.097,-0.08,0.177,MET
channel_out_op[110],0.097,-0.08,0.177,MET
channel_out_op[184],0.097,-0.08,0.177,MET
channel_out_op[207],0.097,-0.08,0.177,MET
channel_out_op[176],0.097,-0.08,0.177,MET
channel_out_op[221],0.097,-0.08,0.177,MET
channel_out_op[232],0.097,-0.08,0.177,MET
channel_out_op[220],0.097,-0.08,0.177,MET
channel_out_op[183],0.098,-0.08,0.178,MET
channel_out_op[179],0.098,-0.08,0.178,MET
channel_out_op[138],0.098,-0.08,0.178,MET
channel_out_op[177],0.098,-0.08,0.178,MET
channel_out_op[166],0.098,-0.08,0.178,MET
channel_out_op[157],0.098,-0.08,0.178,MET
channel_out_op[133],0.098,-0.08,0.178,MET
channel_out_op[167],0.098,-0.08,0.178,MET
channel_out_op[135],0.098,-0.08,0.178,MET
channel_out_op[199],0.098,-0.08,0.178,MET
channel_out_op[228],0.098,-0.08,0.178,MET
channel_out_op[75],0.098,-0.08,0.178,MET
channel_out_op[211],0.098,-0.08,0.178,MET
channel_out_op[73],0.098,-0.08,0.178,MET
channel_out_op[173],0.098,-0.08,0.178,MET
channel_out_op[132],0.098,-0.08,0.178,MET
channel_out_op[141],0.098,-0.08,0.178,MET
channel_out_op[72],0.098,-0.08,0.178,MET
channel_out_op[114],0.099,-0.08,0.179,MET
channel_out_op[219],0.099,-0.08,0.179,MET
channel_out_op[260],0.099,-0.08,0.179,MET
channel_out_op[187],0.099,-0.08,0.179,MET
channel_out_op[208],0.099,-0.08,0.179,MET
channel_out_op[163],0.099,-0.08,0.179,MET
channel_out_op[170],0.099,-0.08,0.179,MET
channel_out_op[168],0.099,-0.08,0.179,MET
channel_out_op[182],0.099,-0.08,0.179,MET
channel_out_op[226],0.099,-0.08,0.179,MET
channel_out_op[106],0.099,-0.08,0.179,MET
channel_out_op[218],0.099,-0.08,0.179,MET
channel_out_op[74],0.099,-0.08,0.179,MET
channel_out_op[185],0.099,-0.08,0.179,MET
channel_out_op[108],0.099,-0.08,0.179,MET
channel_out_op[134],0.099,-0.08,0.179,MET
channel_out_op[186],0.099,-0.08,0.179,MET
channel_out_op[205],0.1,-0.08,0.18,MET
channel_out_op[231],0.1,-0.08,0.18,MET
channel_out_op[159],0.1,-0.08,0.18,MET
channel_out_op[83],0.1,-0.08,0.18,MET
channel_out_op[175],0.1,-0.08,0.18,MET
channel_out_op[203],0.1,-0.08,0.18,MET
channel_out_op[172],0.1,-0.08,0.18,MET
channel_out_op[174],0.1,-0.08,0.18,MET
channel_out_op[136],0.1,-0.08,0.18,MET
channel_out_op[113],0.1,-0.08,0.18,MET
channel_out_op[204],0.1,-0.08,0.18,MET
channel_out_op[82],0.1,-0.08,0.18,MET
channel_out_op[111],0.101,-0.08,0.181,MET
channel_out_op[225],0.101,-0.08,0.181,MET
channel_out_op[230],0.101,-0.08,0.181,MET
channel_out_op[206],0.101,-0.08,0.181,MET
channel_out_op[71],0.101,-0.08,0.181,MET
channel_out_op[103],0.101,-0.08,0.181,MET
channel_out_op[86],0.102,-0.08,0.182,MET
channel_out_op[105],0.102,-0.08,0.182,MET
channel_out_op[99],0.102,-0.08,0.182,MET
channel_out_op[145],0.102,-0.08,0.182,MET
channel_out_op[69],0.102,-0.08,0.182,MET
channel_out_op[94],0.102,-0.08,0.182,MET
channel_out_op[281],0.102,-0.08,0.182,MET
channel_out_op[50],0.102,-0.08,0.182,MET
channel_out_op[92],0.103,-0.08,0.183,MET
channel_out_op[51],0.103,-0.08,0.183,MET
channel_out_op[144],0.103,-0.08,0.183,MET
channel_out_op[109],0.103,-0.08,0.183,MET
channel_out_op[241],0.103,-0.08,0.183,MET
channel_out_op[91],0.103,-0.08,0.183,MET
channel_out_op[259],0.103,-0.08,0.183,MET
channel_out_op[101],0.103,-0.08,0.183,MET
channel_out_op[112],0.104,-0.08,0.184,MET
channel_out_op[107],0.104,-0.08,0.184,MET
channel_out_op[117],0.104,-0.08,0.184,MET
channel_out_op[264],0.104,-0.08,0.184,MET
channel_out_op[81],0.104,-0.08,0.184,MET
channel_out_op[279],0.104,-0.08,0.184,MET
channel_out_op[143],0.104,-0.08,0.184,MET
flow_ctrl_out_ip[13],0.104,-0.08,0.184,MET
channel_out_op[266],0.104,-0.08,0.184,MET
channel_out_op[104],0.104,-0.08,0.184,MET
channel_out_op[227],0.104,-0.08,0.184,MET
channel_out_op[115],0.105,-0.08,0.185,MET
channel_out_op[49],0.105,-0.08,0.185,MET
channel_out_op[292],0.105,-0.08,0.185,MET
channel_out_op[262],0.105,-0.08,0.185,MET
channel_out_op[116],0.105,-0.08,0.185,MET
channel_out_op[54],0.105,-0.08,0.185,MET
channel_out_op[98],0.105,-0.08,0.185,MET
channel_out_op[84],0.105,-0.08,0.185,MET
channel_out_op[88],0.105,-0.08,0.185,MET
channel_out_op[142],0.105,-0.08,0.185,MET
